3t229 40.57
3t250 39.29
3t301 41.14
3t302 41.14
3t423 40.57
3t433 39.57
3t435 41.14
3t450 43.29
3t451 42.86
3t452 42.71
3t489 42.57
3t490 42.43
3t511 40.86
3t516 41.14
3t622 36.57
3t633 30.86
3t634 40
3t636 29.86
3t637 29.86
3t668 39.86
3t707 33.86
3t708 41.43
3t714 34.29
3t781 43.29
3t799 41
3t800 39.86
3t802 39.86
3t813 36.29
3t814 39.14
3t815 39.14
3t859 46
3t861 34
3t878 39.14
3t883 42
3t905 34.14
3t907 30.57
3t924 36.86
3t927 36.86
3t944 39.14
3t946 40.57
3t962 39.71
3t966 43.86
3t967 43.86
3t1036 40.29
3t1037 39.71
3t1132 38.14
3t1133 38.14
3t1140 27.14
3t1161 33.86
3t1163 31.43
3t1181 41.29
3t1237 36.29
3t1238 34.86
3t1273 32.57
3t1275 36.57
3t1303 44.29
3t1312 40.13
3t1350 40.43
3t1408 42
3t1516 34.57
3t1531 32.29
3t1721 43
3t1722 43
3t1744 28.29
3t1765 36.29
3t1790 30.29
3t1792 27.71
3t1886 30.86
3t1938 41.43
3t1964 29.71
3t1967 44
3t1995 41.57
3t2081 41.86
3t2082 44.29
3t2090 43.57
3t2091 46.86
3t2092 42.86
3t2108 33
3t2115 33.29
3t2119 43
3t2135 32
3t2166 31.71
3t2169 40.71
3t2170 40.71
3t2196 43.14
3t2238 31.86
3t2253 33.43
3t2256 35.43
3t2257 33.43
3t2319 47.71
3t2336 41.43
3t2964 40.43
nnu09 37.71
nnu19 43.71
nnu24 33.14
nnu29 43
nnu030 40.00
nnu30 43
nnu32 43.29
nnu34 31.57
nnu38 42
nnu39 33
nnu42 31.29
nnu43 41
nnu49 29
nnu54 29
nnu55 29
nnu56 34.71
nnu65 31.71
nnu66 41.14
nnu69 39
nnu71 44.14
nnu72 44.14
nnu77 42
nnu78 41.43
nnu82 30.71
nnu91 32.29
nnu94 39.8
nnu100 40.29
nnu113 28.57
nnu114 29
nnu116 29.29
nnu117 39.14
nnu120 32.29
nnu121 32.29
nnu125 33
nnu126 29.71
nnu129 42.14
nnu130 42.14
nnu131 41.43
nnu132 33.43
nnu136 31.14
nnu137 31.14
nnu139 44
nnu145 36
nnu146 36
nnu148 42
nnu153 41.86
nnu154 41.86
nnu164 43
nnu175 35.29
nnu190 31.14
nnu191 30.71
nnu194 42
nnu195 42
nnu196 42.29
nnu197 42.29
nnu203 40.57
nnu204 40.57
nnu205 36.29
nnu209 38.29
nnu211 28.29
nnu212 27.71
nnu213 41.71
nnu214 41.71
nnu215 49.86
nnu221 40.86
nnu222 39.14
nnu223 41.57
nnu245 42.14
nnu246 42.71
nnu247 39.57
nnu251 35.29
nnu253 35.41
nnu255 36.71
nnu258 41.14
nnu259 37.00
nnu263 31.43
nnu275 40.71
nnu277 31.57
nnu285 39.29
nnu288 29.71
nnu289 31.29
nnu293 43.29
nnu294 43.29
nnu296 41
nnu299 30.41
nnu307 37.14
